# llm-post-training-lab — mid-2025 / early-2026 compatible pins
# Python >= 3.10 recommended (3.11–3.12 preferred)

# Core deep learning
torch>=2.4.0,<2.8.0
transformers>=4.46.0,<4.52.0
datasets>=3.0.0,<3.4.0
accelerate>=1.1.0,<1.5.0
peft>=0.13.0,<0.16.0
trl>=0.12.0,<0.16.0
bitsandbytes>=0.44.0,<0.46.0

# Tokenization / serialization
sentencepiece>=0.2.0,<0.3.0
protobuf>=4.25.0,<6.0.0
safetensors>=0.4.5,<0.6.0

# Config & data utilities
pyyaml>=6.0.2,<7.0.0
pandas>=2.2.0,<2.3.0
numpy>=1.26.0,<2.3.0
tqdm>=4.66.0,<5.0.0
scikit-learn>=1.5.0,<1.7.0

# Chinese NLP / metrics
jieba>=0.42.1
rouge-chinese>=1.0.3
nltk>=3.9.0,<3.10.0

# Serving (API wrapper; vLLM is optional — install on Linux+CUDA hosts)
fastapi>=0.115.0,<0.116.0
uvicorn[standard]>=0.32.0,<0.35.0
httpx>=0.27.0,<0.29.0
# vllm>=0.6.0,<0.8.0  # optional: Linux + NVIDIA CUDA only; omit on Windows/macOS CPU

# Optional LLM-as-judge client
openai>=1.55.0,<2.0.0

# Visualization & CLI
matplotlib>=3.9.0,<3.11.0
seaborn>=0.13.2,<0.14.0
rich>=13.9.0,<14.0.0

# Interactive demo (optional; scripts/11_gradio_demo.py)
gradio>=4.44.0,<6.0.0
